seed,draw,parameter,rank_frac,truth,sample_mean,sample_sd
3,18,z_A0_eff,0.105,0.7367551326751709,0.7465528249740601,0.008818885311484337
3,19,alpha,0.23,1.055747389793396,1.0617594718933105,0.008695550262928009
3,19,beta_r,0.445,1.0013819932937622,1.0034575462341309,0.017559997737407684
3,19,eta_col,0.85,0.704978346824646,0.7010565996170044,0.004007360432296991
3,19,xi_reb,0.725,0.5136333107948303,0.5125693678855896,0.00211572227999568
3,19,z_A0_eff,0.185,0.795634388923645,0.8004060983657837,0.005491496063768864
3,20,alpha,0.03,0.602769136428833,0.6163164377212524,0.006840967107564211
3,20,beta_r,0.095,1.0662239789962769,1.1030306816101074,0.029082737863063812
3,20,eta_col,0.41,0.5615596175193787,0.5622574687004089,0.0031884817872196436
3,20,xi_reb,0.465,1.140663743019104,1.1412370204925537,0.0044140140525996685
3,20,z_A0_eff,0.04,0.7922631502151489,0.8035485744476318,0.006713543552905321
3,21,alpha,0.155,0.9753545522689819,0.9786210656166077,0.0031693442724645138
3,21,beta_r,0.46,0.6734708547592163,0.6741812229156494,0.006499029695987701
3,21,eta_col,0.96,0.7993841171264648,0.7941610813140869,0.0030173480045050383
3,21,xi_reb,0.085,0.8630902767181396,0.8677058219909668,0.003184080123901367
3,21,z_A0_eff,0.145,0.8023146390914917,0.8046308755874634,0.0026687877252697945
3,22,alpha,0.99,0.8457386493682861,0.8380062580108643,0.0031556496396660805
3,22,beta_r,0.995,0.80809485912323,0.7882282137870789,0.007240921258926392
3,22,eta_col,0.15,0.8655246496200562,0.8695234060287476,0.0039781248196959496
3,22,xi_reb,0.88,1.1803330183029175,1.1750155687332153,0.004599629435688257
3,22,z_A0_eff,0.87,0.8178579807281494,0.8147135972976685,0.0030098510906100273
3,23,alpha,0.9,1.192360281944275,1.1829549074172974,0.007860679179430008
3,23,beta_r,0.76,0.8777749538421631,0.870582103729248,0.011608717031776905
3,23,eta_col,0.405,0.5432580709457397,0.5440250635147095,0.003358042100444436
3,23,xi_reb,0.905,0.867707371711731,0.8637003302574158,0.002939982805401087
3,23,z_A0_eff,0.93,0.9445160627365112,0.9356382489204407,0.006145097315311432
3,24,alpha,0.755,1.145095705986023,1.1422938108444214,0.004377270583063364
3,24,beta_r,0.86,0.5652204155921936,0.5599768757820129,0.004705855622887611
3,24,eta_col,0.405,0.8332523703575134,0.8339834809303284,0.0033935699611902237
3,24,xi_reb,0.685,0.8328732848167419,0.831524670124054,0.003267451887950301
3,24,z_A0_eff,0.51,0.783968448638916,0.7839459180831909,0.0026488234288990498
3,25,alpha,0.715,1.0040006637573242,1.0022412538528442,0.003110788995400071
3,25,beta_r,0.07,1.0929181575775146,1.115953803062439,0.01379491202533245
3,25,eta_col,0.945,0.8643999099731445,0.8580690026283264,0.003550163470208645
3,25,xi_reb,0.955,0.41066694259643555,0.4079100787639618,0.001791955903172493
3,25,z_A0_eff,0.825,0.9372872710227966,0.9348425269126892,0.00276986975222826
3,26,alpha,0.475,0.8069009780883789,0.8069947957992554,0.008913635276257992
3,26,beta_r,0.545,0.9600703716278076,0.9584042429924011,0.02365058846771717
3,26,eta_col,0.965,0.5615899562835693,0.5550963878631592,0.0036126021295785904
3,26,xi_reb,0.245,0.5203021764755249,0.522080659866333,0.002134433016180992
3,26,z_A0_eff,0.2,0.7441658973693848,0.7500196099281311,0.007497308775782585
3,27,alpha,0.61,1.0767537355422974,1.0754398107528687,0.004961089231073856
3,27,beta_r,0.715,0.44502902030944824,0.4428722858428955,0.00398514699190855
3,27,eta_col,0.65,0.8425829410552979,0.8412232995033264,0.003917851019650698
3,27,xi_reb,0.605,0.5493372082710266,0.5487024784088135,0.002395044080913067
3,27,z_A0_eff,0.365,0.7337992191314697,0.7345327734947205,0.0031193653121590614
3,28,alpha,0.775,0.8403050303459167,0.8360753059387207,0.0071757095865905285
3,28,beta_r,0.615,0.585689902305603,0.5837874412536621,0.008538981899619102
3,28,eta_col,0.645,0.8417552709579468,0.8401055932044983,0.004820726346224546
3,28,xi_reb,0.435,1.1907809972763062,1.1912603378295898,0.003990416415035725
3,28,z_A0_eff,0.675,0.8584001660346985,0.856900155544281,0.0064565567299723625
3,29,alpha,0.945,0.4112418591976166,0.399619460105896,0.007888401858508587
3,29,beta_r,0.765,1.0682083368301392,1.0376659631729126,0.049033068120479584
3,29,eta_col,0.885,0.5245238542556763,0.5200990438461304,0.003608486382290721
3,29,xi_reb,0.31,0.5486536026000977,0.5497272610664368,0.002382042119279504
3,29,z_A0_eff,0.955,0.744953453540802,0.7325124144554138,0.011613551527261734
3,30,alpha,0.395,1.0708801746368408,1.0720988512039185,0.0045446851290762424
3,30,beta_r,0.035,0.45022937655448914,0.4565570056438446,0.003388433950021863
3,30,eta_col,0.655,0.9497731328010559,0.9481443762779236,0.004312428645789623
3,30,xi_reb,0.885,0.49471837282180786,0.491921067237854,0.0023144888691604137
3,30,z_A0_eff,0.375,0.7267682552337646,0.7273369431495667,0.0028188505675643682
3,31,alpha,0.77,1.0365325212478638,1.0343873500823975,0.0028038935270160437
3,31,beta_r,0.715,0.8609557747840881,0.8565555810928345,0.009365180507302284
3,31,eta_col,0.84,0.9968453645706177,0.9941412210464478,0.002876809798181057
3,31,xi_reb,0.245,0.6231685280799866,0.6249476671218872,0.002592067001387477
3,31,z_A0_eff,0.465,0.7784084677696228,0.7785342335700989,0.002089870162308216
3,32,alpha,0.85,0.9218368530273438,0.9149124026298523,0.006666874513030052
3,32,beta_r,0.33,1.1643948554992676,1.1707217693328857,0.01725156232714653
3,32,eta_col,0.055,0.5997028350830078,0.6069790124893188,0.005029428284615278
3,32,xi_reb,0.765,0.4195096492767334,0.41831111907958984,0.0017917525256052613
3,32,z_A0_eff,0.845,0.716081440448761,0.712012767791748,0.004325178451836109
3,33,alpha,0.98,1.191076397895813,1.1842238903045654,0.0036490715574473143
3,33,beta_r,0.87,0.5802904367446899,0.5753930807113647,0.00419980101287365
3,33,eta_col,0.67,0.9167335033416748,0.9152280688285828,0.0037528679240494967
3,33,xi_reb,0.625,0.4889545440673828,0.48822036385536194,0.0024948047939687967
3,33,z_A0_eff,0.64,0.947266697883606,0.9463708996772766,0.002638912061229348
3,34,alpha,0.65,0.6227812170982361,0.6186331510543823,0.012394316494464874
3,34,beta_r,0.625,1.1130040884017944,1.0976454019546509,0.03874078765511513
3,34,eta_col,0.85,0.907027006149292,0.8966326117515564,0.010771116241812706
3,34,xi_reb,0.56,0.7680820822715759,0.7678794860839844,0.00346456840634346
3,34,z_A0_eff,0.655,0.8051968812942505,0.800352931022644,0.011970993131399155
3,35,alpha,0.81,0.7114617228507996,0.7060139179229736,0.006194043904542923
3,35,beta_r,0.895,0.9504919052124023,0.9348597526550293,0.013994621112942696
3,35,eta_col,0.27,0.8580065369606018,0.8625198602676392,0.007801710162311792
3,35,xi_reb,0.84,1.1273620128631592,1.1227939128875732,0.0044188667088747025
3,35,z_A0_eff,0.515,0.8556534051895142,0.8553005456924438,0.005602297373116016
3,36,alpha,0.41,1.017428994178772,1.018712043762207,0.007763270288705826
3,36,beta_r,0.765,1.1564401388168335,1.1418207883834839,0.019603794440627098
3,36,eta_col,0.21,0.6346522569656372,0.6386054754257202,0.004495188593864441
3,36,xi_reb,0.765,0.8950787782669067,0.8926191926002502,0.0031179117504507303
3,36,z_A0_eff,0.55,0.7648317813873291,0.7643283009529114,0.005250170826911926
3,37,alpha,0.185,0.7031463980674744,0.7150923013687134,0.014258171431720257
3,37,beta_r,0.375,0.6419496536254883,0.6482784152030945,0.021610192954540253
3,37,eta_col,0.135,0.776945948600769,0.782223641872406,0.0052028619684278965
3,37,xi_reb,0.745,0.684154212474823,0.6820537447929382,0.003228411776944995
3,37,z_A0_eff,0.13,0.718603253364563,0.7337035536766052,0.013827878050506115
3,38,alpha,0.57,0.7621103525161743,0.7616745829582214,0.006282632704824209
3,38,beta_r,0.885,0.931990385055542,0.9155213832855225,0.014475151896476746
3,38,eta_col,0.82,0.7079014778137207,0.7044941186904907,0.003521273611113429
3,38,xi_reb,0.12,0.6576389670372009,0.6605112552642822,0.0022997150663286448
3,38,z_A0_eff,0.31,0.8777921795845032,0.8810356855392456,0.006599904503673315
3,39,alpha,0.95,0.7253602743148804,0.7173810601234436,0.00517832487821579
3,39,beta_r,0.985,0.9728035926818848,0.9435699582099915,0.012774769216775894
3,39,eta_col,0.595,0.8850662708282471,0.8837350606918335,0.010880116373300552
3,39,xi_reb,0.245,0.7383968830108643,0.7402877807617188,0.0031819308642297983
3,39,z_A0_eff,0.92,0.9460225105285645,0.9390392899513245,0.005267446860671043
4,0,alpha,0.73,0.7027767896652222,0.6983056664466858,0.008869688957929611
4,0,beta_r,0.3,0.8738349080085754,0.8834882378578186,0.017728475853800774
4,0,eta_col,0.45,0.6773703098297119,0.677605152130127,0.0038162735290825367
4,0,xi_reb,0.16,0.4169670641422272,0.418481707572937,0.0016164467670023441
4,0,z_A0_eff,0.78,0.8019052743911743,0.797220766544342,0.007978362031280994
4,1,alpha,0.43,0.8927000761032104,0.8954341411590576,0.01671386882662773
4,1,beta_r,0.59,0.4552282989025116,0.45211055874824524,0.01311512291431427
4,1,eta_col,0.01,0.5825845003128052,0.5907778739929199,0.004498753231018782
4,1,xi_reb,0.45,1.1789520978927612,1.1792881488800049,0.004167709965258837
4,1,z_A0_eff,0.44,0.7125993371009827,0.7149395942687988,0.011168970726430416
4,2,alpha,0.68,0.43803149461746216,0.43398600816726685,0.009396763518452644
4,2,beta_r,0.535,0.4781215190887451,0.47856560349464417,0.01781998574733734
4,2,eta_col,0.91,0.7839192152023315,0.7742620706558228,0.006984072271734476
4,2,xi_reb,0.02,0.7150644659996033,0.7210735082626343,0.00241769477725029
4,2,z_A0_eff,0.625,0.7291436195373535,0.7264883518218994,0.01022556982934475
4,3,alpha,1.0,0.8153698444366455,0.7899308204650879,0.009834880009293556
4,3,beta_r,0.995,0.4202210605144501,0.402927428483963,0.006476090755313635
4,3,eta_col,0.83,0.6440844535827637,0.6409934759140015,0.004352936986833811
4,3,xi_reb,0.71,1.0425195693969727,1.040891170501709,0.0030414497014135122
4,3,z_A0_eff,1.0,0.9485695362091064,0.9221529960632324,0.009575649164617062
4,4,alpha,0.785,0.8825433850288391,0.8789997696876526,0.006351740565150976
4,4,beta_r,0.145,0.5874300003051758,0.5941936373710632,0.0063304416835308075
4,4,eta_col,0.12,0.5820223093032837,0.586253821849823,0.0036673115100711584
4,4,xi_reb,0.535,1.1510982513427734,1.1506545543670654,0.003979743458330631
4,4,z_A0_eff,0.825,0.878659188747406,0.8741803169250488,0.004686588421463966
4,5,alpha,0.56,0.4471173882484436,0.44466590881347656,0.010444696992635727
4,5,beta_r,0.465,0.7024301886558533,0.7044396996498108,0.027052298188209534
4,5,eta_col,0.21,0.8600300550460815,0.873047947883606,0.016217179596424103
4,5,xi_reb,0.59,0.6772881746292114,0.6763385534286499,0.003500694641843438
4,5,z_A0_eff,0.54,0.8438702821731567,0.8431881666183472,0.01046119723469019
4,6,alpha,0.975,0.8979101181030273,0.8815460205078125,0.009218057617545128
4,6,beta_r,0.97,1.0474931001663208,1.0087183713912964,0.01922653056681156
4,6,eta_col,0.03,0.7855408191680908,0.7980920672416687,0.0066942088305950165
4,6,xi_reb,0.135,0.7785181999206543,0.7821720242500305,0.0036550890654325485
4,6,z_A0_eff,0.855,0.7927814722061157,0.786237895488739,0.006897922605276108
4,7,alpha,0.975,0.88371741771698,0.8708431124687195,0.006851486396044493
4,7,beta_r,0.97,0.764351487159729,0.7425847053527832,0.00975535437464714
4,7,eta_col,0.715,0.9557961225509644,0.9525721073150635,0.007934479042887688
4,7,xi_reb,0.04,1.1047358512878418,1.1123350858688354,0.004037006758153439
4,7,z_A0_eff,0.93,0.9152278900146484,0.9053208827972412,0.006650945637375116
4,8,alpha,0.84,1.018296480178833,0.9979090690612793,0.020732343196868896
4,8,beta_r,0.785,0.6279361844062805,0.6142061352729797,0.018279777839779854
4,8,eta_col,0.68,0.521160364151001,0.5192521810531616,0.0055478643625974655
4,8,xi_reb,0.055,0.515180766582489,0.5190269947052002,0.002514282474294305
4,8,z_A0_eff,0.76,0.7885207533836365,0.7791345119476318,0.013543467037379742
4,9,alpha,0.85,0.5311331748962402,0.521843433380127,0.009985227137804031
4,9,beta_r,0.9,1.0828863382339478,1.0389471054077148,0.03627000004053116
4,9,eta_col,0.435,0.6620426177978516,0.6636622548103333,0.00775632681325078
4,9,xi_reb,0.095,0.6673201322555542,0.6705490350723267,0.002338982652872801
4,9,z_A0_eff,0.85,0.9244202375411987,0.9136720299720764,0.011171943508088589
4,10,alpha,0.84,0.6929727792739868,0.6850870251655579,0.007706565782427788
4,10,beta_r,0.92,1.012804627418518,0.9861300587654114,0.019426828250288963
4,10,eta_col,0.245,0.7933700084686279,0.7965580821037292,0.004891656804829836
4,10,xi_reb,0.59,1.070155382156372,1.069567084312439,0.0031067917589098215
4,10,z_A0_eff,0.91,0.7345634698867798,0.7253374457359314,0.007408753503113985
4,11,alpha,0.15,1.0950719118118286,1.0999195575714111,0.005028053652495146
4,11,beta_r,0.19,0.8455485105514526,0.8544072508811951,0.008728248067200184
4,11,eta_col,0.0,0.5916694402694702,0.6012306213378906,0.003155002137646079
4,11,xi_reb,0.745,1.1778322458267212,1.175480842590332,0.004034065175801516
4,11,z_A0_eff,0.18,0.9105016589164734,0.9140037298202515,0.0039840214885771275
4,12,alpha,0.715,1.0670764446258545,1.0649518966674805,0.004302696790546179
4,12,beta_r,0.29,0.583610475063324,0.5869573950767517,0.005584742408245802
4,12,eta_col,0.57,0.8563224077224731,0.8559598326683044,0.0027023046277463436
4,12,xi_reb,0.03,0.9875767230987549,0.9937836527824402,0.0033872562926262617
4,12,z_A0_eff,0.36,0.719657301902771,0.7201515436172485,0.0024909472558647394
4,13,alpha,0.52,0.5282289981842041,0.5286476016044617,0.008379287086427212
4,13,beta_r,0.615,0.6708518266677856,0.6669776439666748,0.014995337463915348
4,13,eta_col,0.335,0.931180477142334,0.9358484148979187,0.010489383712410927
4,13,xi_reb,0.235,1.0632787942886353,1.066334843635559,0.004612279590219259
4,13,z_A0_eff,0.385,0.7089877724647522,0.7115846872329712,0.007102187257260084
4,14,alpha,0.98,1.0373051166534424,1.0314452648162842,0.002718205563724041
4,14,beta_r,0.835,1.1454323530197144,1.1309921741485596,0.015989305451512337
4,14,eta_col,0.77,0.8951960802078247,0.893109917640686,0.0036104393657296896
4,14,xi_reb,0.045,0.601179838180542,0.6056797504425049,0.0025345329195261
4,14,z_A0_eff,0.59,0.8144038319587708,0.8138915300369263,0.002091136062517762
4,15,alpha,0.12,0.48033618927001953,0.48998916149139404,0.008429078385233879
4,15,beta_r,0.23,0.48854565620422363,0.4990029036998749,0.01339922845363617
4,15,eta_col,0.83,0.9242940545082092,0.9110691547393799,0.013437997549772263
4,15,xi_reb,0.04,0.8565549254417419,0.862349271774292,0.003331582061946392
4,15,z_A0_eff,0.19,0.8226703405380249,0.8311150074005127,0.009641367942094803
4,16,alpha,0.635,1.028302550315857,1.0271364450454712,0.0030790972523391247
4,16,beta_r,0.61,1.1500284671783447,1.1454445123672485,0.01523018628358841
4,16,eta_col,0.895,0.8640550374984741,0.859626293182373,0.004155770409852266
4,16,xi_reb,0.015,0.8390694260597229,0.8457949757575989,0.0029277242720127106
4,16,z_A0_eff,0.6,0.9481809139251709,0.947725236415863,0.002903898246586323
4,17,alpha,0.04,1.1241999864578247,1.1428461074829102,0.009484135545790195
4,17,beta_r,0.22,0.7561745047569275,0.7635078430175781,0.010595202445983887
4,17,eta_col,0.16,0.6867108941078186,0.6913271546363831,0.004548201337456703
4,17,xi_reb,0.575,0.8275312185287476,0.827052891254425,0.002674378687515855
4,17,z_A0_eff,0.09,0.8071972131729126,0.8148237466812134,0.006411961279809475
4,18,alpha,0.015,0.4829145669937134,0.5005514025688171,0.007770423777401447
4,18,beta_r,0.02,0.7996320724487305,0.8430919647216797,0.024871017783880234
4,18,eta_col,0.92,0.9527183771133423,0.9353632926940918,0.013267790898680687
